title,author,description,category,trending,coverImage,oldPrice,newPrice,createdAt
"To Kill a Mockingbird","Harper Lee","A timeless novel about racial injustice, moral growth, and the complexity of human nature in the American South","Classic Literature",true,"http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg",19.99,15.75,"1988"
"Pride and Prejudice","Jane Austen","A witty and insightful exploration of love, marriage, and social class in early 19th-century England","Classic Romance",true,"http://images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg",16.99,13.50,"1983"
"Seabiscuit: An American Legend","Laura Hillenbrand","An inspiring true story of an underdog racehorse that became a symbol of hope during the Great Depression","Sports Biography",true,"http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg",29.99,24.25,"2002"
"The Alchemist","Paulo Coelho","A philosophical novel about a young shepherd's journey to find his personal legend and discover the true meaning of life","Spiritual Fiction",true,"http://images.amazon.com/images/P/0062315005.01.THUMBZZZ.jpg",14.99,11.75,"1988"
"A Brief History of Time","Stephen Hawking","A groundbreaking exploration of cosmology, quantum mechanics, and the nature of the universe for the general reader","Popular Science",true,"http://images.amazon.com/images/P/0553380168.01.THUMBZZZ.jpg",19.99,15.50,"1988"
"The Girl with the Dragon Tattoo","Stieg Larsson","A gripping crime novel featuring a complex investigative journalist and a brilliant but troubled hacker","Crime Thriller",true,"http://images.amazon.com/images/P/0307454546.01.THUMBZZZ.jpg",23.50,18.99,"2005"
"Dune","Frank Herbert","An epic science fiction novel exploring politics, religion, and ecology in a distant future interstellar society","Science Fiction",true,"http://images.amazon.com/images/P/0441172717.01.THUMBZZZ.jpg",22.99,18.25,"1965"
"The Immortal Life of Henrietta Lacks","Rebecca Skloot","A powerful investigation into the story of Henrietta Lacks and the revolutionary impact of her cells on medical research","Science Biography",true,"http://images.amazon.com/images/P/1400052173.01.THUMBZZZ.jpg",27.50,22.00,"2010"
"Educated","Tara Westover","A memoir of survival, self-invention, and the transformative power of education in overcoming a challenging upbringing","Memoir",true,"http://images.amazon.com/images/P/0399590501.01.THUMBZZZ.jpg",26.99,21.50,"2018"
"The Art of War","Sun Tzu","A classic treatise on military strategy, leadership, and conflict management applicable to both warfare and life","Philosophy",false,"http://images.amazon.com/images/P/0486425573.01.THUMBZZZ.jpg",12.99,10.25,"1910"
"Sapiens: A Brief History of Humankind","Yuval Noah Harari","A provocative exploration of human history, examining how humans became the dominant species on the planet","World History",true,"http://images.amazon.com/images/P/0062316117.01.THUMBZZZ.jpg",24.99,19.75,"2014"
"The Catcher in the Rye","J.D. Salinger","A story about adolescent angst and rebellion, following the journey of Holden Caulfield in New York City","Classic Literature",true,"http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg",15.99,12.99,"1951"
"Becoming","Michelle Obama","A deeply personal and inspiring memoir by the former First Lady of the United States","Memoir",true,"http://images.amazon.com/images/P/1524763136.01.THUMBZZZ.jpg",32.50,26.75,"2018"
"The Road","Cormac McCarthy","A post-apocalyptic tale of a father and son's survival in a barren, dangerous world","Post-Apocalyptic Fiction",true,"http://images.amazon.com/images/P/0307387895.01.THUMBZZZ.jpg",17.50,14.99,"2006"
"1984","George Orwell","A dystopian novel exploring totalitarianism, surveillance, and societal control","Dystopian Fiction",true,"http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg",15.99,13.25,"1949"
"The Power of Habit","Charles Duhigg","A practical guide on understanding and reshaping habits to achieve personal and professional success","Self-help",true,"http://images.amazon.com/images/P/081298160X.01.THUMBZZZ.jpg",16.99,13.75,"2012"
"Atomic Habits","James Clear","A science-backed guide to building good habits and breaking bad ones for transformative results","Self-help",true,"http://images.amazon.com/images/P/0735211299.01.THUMBZZZ.jpg",27.00,21.99,"2018"
"The Subtle Art of Not Giving a F*ck","Mark Manson","A counterintuitive approach to living a good life by focusing on what truly matters","Self-help",true,"http://images.amazon.com/images/P/0062457713.01.THUMBZZZ.jpg",24.99,19.99,"2016"
"The Great Gatsby","F. Scott Fitzgerald","A portrayal of the Jazz Age and the American Dream's corruption, centering on Jay Gatsby's tragic story","Classic Literature",true,"http://images.amazon.com/images/P/0743273567.01.THUMBZZZ.jpg",14.99,12.75,"1925"
"Thinking, Fast and Slow","Daniel Kahneman","An exploration of the two systems that drive human thought processes: the intuitive and the deliberate","Psychology",true,"http://images.amazon.com/images/P/0374533555.01.THUMBZZZ.jpg",20.99,16.50,"2011"
"Where the Crawdads Sing","Delia Owens","A compelling tale blending romance, mystery, and nature in the marshlands of North Carolina","Contemporary Fiction",true,"http://images.amazon.com/images/P/0735219109.01.THUMBZZZ.jpg",26.00,20.99,"2018"
"Brave New World","Aldous Huxley","A dystopian novel exploring a futuristic society shaped by technological advancements and loss of individuality","Dystopian Fiction",true,"http://images.amazon.com/images/P/0060850523.01.THUMBZZZ.jpg",16.50,13.99,"1932"
"Fahrenheit 451","Ray Bradbury","A classic dystopian novel about a society where books are banned and 'firemen' burn them","Dystopian Fiction",true,"http://images.amazon.com/images/P/1451673310.01.THUMBZZZ.jpg",14.99,11.50,"1953"
"The Hobbit","J.R.R. Tolkien","A fantasy adventure following Bilbo Baggins as he embarks on a quest to recover stolen treasure","Fantasy",true,"http://images.amazon.com/images/P/054792822X.01.THUMBZZZ.jpg",17.99,14.50,"1937"
"The Shining","Stephen King","A chilling horror novel about a family's experiences in an isolated, haunted hotel","Horror",true,"http://images.amazon.com/images/P/0307743659.01.THUMBZZZ.jpg",16.99,13.99,"1977"
"Gone Girl","Gillian Flynn","A psychological thriller that delves into the complexities of marriage and deception","Psychological Thriller",true,"http://images.amazon.com/images/P/0307588378.01.THUMBZZZ.jpg",19.99,15.50,"2012"
"The Book Thief","Markus Zusak","A moving novel about a young girl living in Nazi Germany, narrated by Death","Historical Fiction",true,"http://images.amazon.com/images/P/0375842209.01.THUMBZZZ.jpg",14.99,12.25,"2005"
"The Fault in Our Stars","John Green","A poignant story of two teenagers who fall in love while battling cancer","Young Adult Fiction",true,"http://images.amazon.com/images/P/014242417X.01.THUMBZZZ.jpg",12.99,10.50,"2012"
"The Hunger Games","Suzanne Collins","A gripping dystopian novel about survival, rebellion, and resilience in a totalitarian society","Young Adult Fiction",true,"http://images.amazon.com/images/P/0439023521.01.THUMBZZZ.jpg",18.99,15.75,"2008"
