title,description,category,trending,coverImage,oldPrice,newPrice,createdAt
"Classical Mythology","A comprehensive book on classical mythology.","Education",true,"http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg",50,45,"2024-11-17"
"Clara Callan","A story of two sisters in the 1930s.","Fiction",false,"http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg",40,35,"2024-11-17"
"Decision in Normandy","A detailed account of the Normandy invasion.","History",true,"http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg",45,40,"2024-11-17"
"Flu: The Story of the Great Influenza Pandemic of 1918","The story of the 1918 influenza pandemic.","Medical",false,"http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg",30,28,"2024-11-17"
"The Mummies of Urumchi","A fascinating exploration of ancient mummies.","Archaeology",true,"http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg",55,50,"2024-11-17"
"The Kitchen God's Wife","A captivating tale of family and secrets.","Literature",false,"http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg",25,22,"2024-11-17"
"What If?: The World's Foremost Military Historians Imagine What Might Have Been","Military historians speculate on alternate outcomes.","History",true,"http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg",40,38,"2024-11-17"
"PLEADING GUILTY","A gripping legal thriller.","Thriller",false,"http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg",35,30,"2024-11-17"
"Under the Black Flag","The realities of life among pirates.","History",true,"http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg",50,45,"2024-11-17"
"Where You'll Find Me","A collection of compelling short stories.","Fiction",false,"http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg",20,18,"2024-11-17"
"Nights Below Station Street","A poignant tale of family life.","Fiction",false,"http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg",25,22,"2024-11-17"
"Hitler's Secret Bankers","An investigation of Swiss banks during WWII.","History",true,"http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg",45,42,"2024-11-17"
"The Middle Stories","A quirky collection of short stories.","Fiction",false,"http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg",20,18,"2024-11-17"
"Jane Doe","A thrilling mystery novel.","Mystery",true,"http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg",30,28,"2024-11-17"
"A Second Chicken Soup for the Woman's Soul","Inspiring stories for women.","Self-Help",false,"http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg",25,20,"2024-11-17"
"The Witchfinder","A suspenseful Amos Walker mystery.","Mystery",true,"http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg",30,25,"2024-11-17"
"More Cunning Than Man","A history of rats and their relationship with humans.","Science",false,"http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg",35,32,"2024-11-17"
"Goodbye to the Buttermilk Sky","A poignant Southern novel.","Fiction",true,"http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg",40,35,"2024-11-17"
"The Testament","A gripping legal thriller.","Thriller",false,"http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg",45,40,"2024-11-17"
"Beloved","A powerful story of slavery and its aftermath.","Literature",true,"http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg",50,45,"2024-11-17"
"Our Dumb Century","Satirical headlines from the last century.","Humor",false,"http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg",30,28,"2024-11-17"
"New Vegetarian","Bold and beautiful vegetarian recipes.","Cooking",true,"http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg",40,35,"2024-11-17"
